Name,Type,Climate,Terrain,Frequency,Organization,Activity Cycle,Diet,Intelligence,% in Lair,Treasure,Alignment,No. Appearing,AC,Movement,HD,Thac0,No. Attacks,Damage,Special Attack,Special Defence,MR,Size,Morale,Psionic Ability,A/D Modees,Level,XP,Source,Edition
Lich,Undead,Any,N/A,Very Rare,N/A,N/A,N/A,Supra-genius (19-20),90%,A,N(E),1,0,6,11 or better,N/A,1,1-10,Special,+1 to hit,Standard,M,N/A,Special,Special,N/A,N/A,TSR 2009 - Monster Manual (First Edition),1e
Lich,Undead,N/A,Any,Very Rare,Solitary,Night,Nil,Supra-genius (19-20),N/A,A,E(any),1,0,6,11+,9,1,1-10,Magic use,+1 to hit,Nil,M (6'),17-18,Nil,Nil,N/A,8000,TSR 2140 - Monstrous Manual (Second Edition),2e
Lich - Bane,Undead,Any,Any,Very Rare,Solitary,Any,Nil,Supra-genius (19-20),N/A,"R (A,S,Z)",LE,1,0,9,17 or more,5,1,1-10,Priest spells; Hopelessness touch; Coldfire missles; Special,+2 to hit; Fear aura; Spell immunities; immune to poison,25%,M (5-6'),17-18,Nil,Nil,N/A,22000 + 1000 per HD over 17,"TSR 2166 - Monstrous Compendium Annual, Volume Three",2e
Lich - Banelich,Undead,Any,Any,Very Rare,Solitary,Any,Nil,Supra-genius (19-20),N/A,"A,S,Z",LE,1,0,9,17 or better,5,1,1-10,Priest spells; Hopelessness touch; Coldfire missiles; Special,+2 to hit; Fear aura; Spell immunities; Immune to poison; Special,25%,M (5-6'),17-18,Nil,Nil,N/A,22000 +1000 per HD over 17,TSR 1120 - Ruins of Zhentil Keep,2e
Lich - Bardic (Andres Duvall),Undead,Ravenloft,Any,Unique,Solitary,Night,Magical Energies,Genius (17-18),N/A,W,NG,1,0,12,9 (45 hp),11,1,2-8,Magic absorption,+1 to hit; Fear aura,Special,M (6'),16,Nil,Nil,N/A,13000,"TSR 2162 - Monstrous Compendium, Ravenloft Appendix I & II",2e
Lich - Defiler,Undead,Athas or Ravenloft,Any,Very Rare,Solitary,Any,Nil,Supra-genius (19-20),N/A,"R,X (E)",CE,1,0,6,11 or more,9,1,1-10 or by weapon,Special,+1 to hit; Special,Nil,M (6'),17,120,All/All,N/A,8000,"TSR 2153 - Monstrous Compendium, Ravenloft Appendix III",2e
Lich - Demilich,Undead,N/A,N/A,Very Rare,N/A,N/A,N/A,Supra-genius (19-20),100%,Z,N(E),1,-6,Special,50 hp,N/A,Special,Special,Special,Special,Special,M,N/A,Special,Special,IX,5950+16,TSR 2016 - Monster Manual II (First Edition),1e
Lich - Demilich,Undead,Any,Any,Very Rare,Solitary,Night,Nil,Supra-genius (19-20),N/A,Z,E(any),1,Special,Special,Special,9,Special,Special,Special,Special,Special,M (6'),17-18,Nil,Nil,N/A,10000,TSR 2140 - Monstrous Manual (Second Edition),2e
Lich - Drider,Undead,Any,Subterranean,Very Rare,Solitary,Night,Nil,Genius (17-18),N/A,Z (G),CE,1,-1,12,11,9,1,1-4,Special,Special,Varies,L (9'),13-14,Nil,Nil,N/A,9000,"TSR 2153 - Monstrous Compendium, Ravenloft Appendix III",2e
Lich - Drow,Undead,Any,Subterranean,Very Rare,Solitary,Night,Nil,Supra-genius (19-20),N/A,U (G),CE,1,0,12,11,9,1,1-10,Special,+1 to hit; Special,Varies,M (6'),13-14,Nil,Nil,N/A,9000,"TSR 2153 - Monstrous Compendium, Ravenloft Appendix III",2e
Lich - Elemental,Undead,Ravenloft,Any,Very Rare,Solitary,Night,Nil,Supra-genius (19-20),N/A,W (C),CE,1,0,6,11,9,1,1-10 or by weapon,Spe,+1 to hit; Special,Nil,M (6'),17-18,Nil,Nil,N/A,25000,"TSR 2153 - Monstrous Compendium, Ravenloft Appendix III",2e
Lich - Fire,Undead,Wildspace,Any,Very Rare,Solitary,Any,Nil,Genius (17-18),N/A,Nil,E,1,0,"Fl 36 (D), Sr 4",16 or more,4,1,16-96 (16d6),Fear,Nil,40%,L (18'),19,Nil,Nil,N/A,10000,"TSR 2119 - Monstrous Compendium, Spelljammer Appendix II",2e
Lich - Illithid (Alhoon),Undead,Any,Any,Very Rare,Solitary or Community,Any,Special,Genius (17-18),N/A,"S,T,Vx6,X",NE,1-4,5,12,8+4,11,4,1-4 + special,Mind blast; spell use,Nil,90%,M (6'),17-18,251-350,"EW,II,MT/All",N/A,9000,"TSR 2166 - Monstrous Compendium Annual, Volume Three",2e
Lich - Inheritor,Undead,Any,Any,Very Rare,Solitary,Night,Nil,Supra-genius (19-20),N/A,A,E,1,0,6,15,5,1,1-10,Touch; Legacies,+1 to hit; Spell and Legacy immunities,Nil,M (4-7'),17-18,Nil,Nil,N/A,19000,"TSR 2524 - Monstrous Compendium, Savage Coast Appendix",2e
Lich - Master,Undead,Spelljammer,Any,Unique,Leader,Constant,Nil,Genius (17-18),N/A,Hx4,CE,1,-2,"6, Fl 12 (C)",13,8,2,3-18 or by weapon,Special,Special,20%,M (5.5'),19-20,Nil,Nil,N/A,15000,TSR 1065 - The Legend of Spelljammer,2e
Lich - Psionic,Undead,Any,Land,Very Rare,Solitary,Night,Psionic Energy,Supra-genius (19-20),N/A,A,E,1,0,6,9+18,11,1,3-10,Psionics; Mind struck power; Psionics-draining touch,+1 to hit; Psionics; Spell immunities,Nil,M (6'),17-18,82,All/All,N/A,16000,"TSR 2145 - Monstrous Compendium Annual, Volume One",2e
Lich - Psionic,Undead,Athas or Ravenloft,Any,Very Rare,Solitary,Night,Psionic Energy,Supra-genius (19-20),N/A,A,E,1,0,6,9+18,11,1,3-10,Psionics; Mind strike; Psionic draining,+1 to hit; Psionics; Spell immunity,Nil,M (6'),17-18,82,All/All,N/A,16000,"TSR 2153 - Monstrous Compendium, Ravenloft Appendix III",2e
Lich - Semi,Undead,N/A,N/A,Very Rare,N/A,N/A,N/A,Genius (17-18),100%,Nil,CE,1,-3,0,13 (60 hp),12,1,N/A,Spells,+3 to hit; Spells,Nil,S,N/A,Nil,Nil,N/A,???,Polyhedron042,2e
Lich - Suel,Undead,Any,Any,Very Rare,Solitary,Any,Nil,Supra-genius (19-20),N/A,"P,Q (A)",NE,1,7 (as host),12 (as host),15 or better,16,1,1-10,Death gaze (under 3 HD paralyzed if save); Paralysis touch; Ignores armor; Touch destroys items,"+1 to hit; Immune to 1st and 2nd level, mind affecting, and death spells",1% per HD,M (5-6'),17-18,Nil,Nil,N/A,10000 + 1000/HD over 15,"TSR 2158 - Monstrous Compendium Annual, Volume Two",2e
Lichen - Lure,Plant,N/A,N/A,Not Listed,N/A,N/A,N/A,Non (0),100%,Nil,N(E),1,4,0,3 to 5,Nil,1,3-24,Poison spores,Mines (1-8),Standard,M,N/A,Nil,Nil,???,???,TSR 9202 - I13 - Adventure Pack,1e
Lichling - Mature,Undead,Any,Land,Very Rare,Solitary,Any,Special,Semi (2),N/A,Nil,CE,1,2,"9, Fl 18 (C)",20,5,3,2-20(x2)/4-24,Bone Spew,Special,Special,G (80'),20,Nil,Nil,N/A,12000,TSR 9341 - FA2 - Nightmare Keep,2e
Lichling - Young,Undead,Any,Land,Very Rare,Solitary or Horde,Any,Special,Animal (1),N/A,Nil,CE,1 or 10-100,1,"3, Fl 24 (B)",2+2,19,1,1-6,Nil,Special,Special,"T (6"")",19,Nil,Nil,N/A,270,TSR 9341 - FA2 - Nightmare Keep,2e
Lich's Blood,Ooze,Any,Any,Very Rare,Solitary,Any,Magic,Exceptional (15-16),N/A,Nil,N,1,7,3,4+2,16,1,1-4,Drain spells,Immune to all weapons and magic,Special,M,20,Nil,Nil,N/A,1400,Dragon238,2e
Life-Bane Duplicate,Monster,N/A,N/A,Very Rare,N/A,N/A,N/A,As base creature,0%,Special,E,1,As base,As base +3,As base,N/A,As base +1,As base,+1 to initiative; As base,Regeneration; As base,"As base; Immune to sleep, charm, and hold",As base,N/A,Nil,Nil,Varies,Varies,TSR 9169 - I8 - Ravager of Time,1e
Life-Shaped Creation - Guardian - Climbdog,Construct,Tropical,Cliffs,Very Rare,None,Any,Special,Semi (2-4),N/A,Nil,N,Varies,4,6,2,19,3,1-3(x2)/1-4,Nil,Nil,Nil,S (3'),Special,N/A,N/A,N/A,65,"TSR 2166 - Monstrous Compendium Annual, Volume Three",2e
Life-Shaped Creation - Guardian - Darkstrike,Construct,Tropical,Cliffs,Very Rare,None,Any,Special,Non (0),N/A,Nil,N,Varies,5,Nil,2,19,1,1-8,Poison,Nil,Nil,S (4'),Special,Nil,Nil,N/A,65,"TSR 2166 - Monstrous Compendium Annual, Volume Three",2e
Life-Shaped Creation - Guardian - Protector,Construct,Tropical,Cliffs,Very Rare,None,Any,Special,Animal (1),N/A,Nil,N,Varies,6,8,3,17,3,1-4(x2)/1-6,Nil,Nil,Nil,M (5'),Special,Nil,Nil,N/A,120,"TSR 2166 - Monstrous Compendium Annual, Volume Three",2e
Life-Shaped Creation - Guardian - Shieldbug,Construct,Tropical,Cliffs,Very Rare,None,Any,Special,Animal (1),N/A,Nil,N,Varies,6,24,1/8,Nil,Special,Special,Special,Special,Nil,"T (6"")",Special,Nil,Nil,N/A,7,"TSR 2166 - Monstrous Compendium Annual, Volume Three",2e
Life-Shaped Creation - Guardian - Watcher,Construct,Tropical,Cliffs,Very Rare,None,Any,Special,Non (0),N/A,Nil,N,Varies,10,Nil,1,Nil,Nil,Nil,Nil,Nil,Nil,S (3'),Special,Nil,Nil,N/A,35,"TSR 2166 - Monstrous Compendium Annual, Volume Three",2e
Life-Shaped Creation - Transport - Ber-ethern,Construct,Tropical,Cliffs,Very Rare,None,Any,Special,Animal (1),N/A,Nil,N,Varies,4,Fl 45 (A),4,17,1,1-4,Nil,Nil,Nil,M (6'),Special,Nil,Nil,N/A,120,"TSR 2166 - Monstrous Compendium Annual, Volume Three",2e
Life-Shaped Creation - Transport - Dev-sahr,Construct,Tropical,Cliffs,Very Rare,None,Any,Special,Animal (1),N/A,Nil,N,Varies,7,18,4,17,1,1-6,Nil,Nil,Nil,L (7'),Special,Nil,Nil,N/A,120,"TSR 2166 - Monstrous Compendium Annual, Volume Three",2e
Life-Shaped Creation - Transport - Gon-evauth,Construct,Tropical,Cliffs,Very Rare,None,Any,Special,Animal (1),N/A,Nil,N,Varies,10,Fl 24 (B),9,11,Nil,Nil,Nil,Nil,Nil,H (20'),Special,Nil,Nil,N/A,975,"TSR 2166 - Monstrous Compendium Annual, Volume Three",2e
Life-Shaped Creation - Transport - Yihn-eflan,Construct,Tropical,Cliffs,Very Rare,None,Any,Special,Animal (1),N/A,Nil,N,Varies,5,Fl 32 (C),6,15,2,2-5(x2),Nil,Nil,Nil,L (8'),Special,Nil,Nil,N/A,270,"TSR 2166 - Monstrous Compendium Annual, Volume Three",2e
Lightning Bug - Giant,Vermin,N/A,N/A,Rare,N/A,N/A,N/A,Non (0),0%,Nil,N,1-12,9,"1, Fl 20 (B)",1/4,N/A,1,Special,Lightning spark,Immune to electricity,Standard,"S (2"")",N/A,Nil,Nil,II,34,Dragon094,1e
Lillend,Outsider,N/A,N/A,Rare,N/A,N/A,N/A,High (13-14),20%,A,CN or CG,3-12,3,"9, Fl 27 (C), Sw 15",7+14,N/A,2,2-12/by weapon,Dropping in flight; Spells; Continual damage,Spells; Various immunities,25%,L (20'),N/A,190,All/All,VII,1900+10,Dragon094,1e
Lillend,Outsider,"Ysgard, Arborea, Limbo",Any,Rare,Family,Day,Omnivore,High (13-14),N/A,(A),CN (CG),2-12,3,"9, Fl 27 (C), Sw 15",7+14,13,2,2-12/by weapon,Dropping in flight; Spells; Crush,+1 to hit; Spells; Immunities,25%,L (20'),15-16,Nil,Nil,N/A,9000,"TSR 2166 - Monstrous Compendium Annual, Volume Three",2e
Lillend,Outsider,"Ysgard, Arborea, Limbo",Any,Rare,Family,Day,Omnivore,High (13-14),N/A,A,C (N or G),2-12,3,"9, Fl 27 (C), Sw 15",7+14,11,2,2-12/by weapon,Dropping in flight; Spells; Crush,+1 to hit; Spells; Immunities,25%,L (20'),15-16,Nil,Nil,N/A,9000,TSR 2603 - Planes of Chaos,2e
Lindworm,Dragon,Varies,Varies,Very Rare,Solitary,Any,Carnivore,Low (5-7),N/A,B,E,1 (20% of 2),Varies,12,5,15,3,1-8/1-6/2-12,Breath weapon (as base dragon),Immune to element of breath weapon,Nil,H (20'),11,Nil,Nil,N/A,650,Dragon182,2e
Linqua,Outsider,Gehenna (Any),Any,Rare (Very Rare),Pack,Any,Omnivore,Average to Very (8-12),N/A,M,NE,3-24 (1),4,6,2,19,1,1-3 or by weapon,Backstab,Spell use,5%,S (3'),8-10,Nil,Nil,N/A,420,TSR 2615 - Planes of Conflict,2e
Lirr,Animal,Any,Tablelands,Uncommon,Pack,Day,Carnivore,Animal (1),N/A,Nil,N,2-12,5,15,5+2,15,3,2-5(x2)/1-10,Roar; Rear Claws (2-7/2-7),Nil,Nil,M (4'),13-14,Nil,Nil,N/A,420,"TSR 2433 - Monstrous Compendium, Dark Sun Appendix II",2e
Little People - Ga-Hon-Ga,Fey,N/A,N/A,Rare,N/A,N/A,N/A,Very (11-12),15%,"P,Xx3",CG,3-18,7,9,2,N/A,1,By weapon,Special,Nil,80%,S (3'),N/A,Nil,Nil,???,???,Dragon061,1e
Little People - Gan-Da-Yah,Fey,N/A,N/A,Rare,N/A,N/A,N/A,Exceptional (15-16),5%,"R,X",NG,1-10,7,12,1+1,N/A,1,By weapon,+2 with bow,Nil,50%,S (3'),N/A,Nil,Nil,???,???,Dragon061,1e
Little People - Oh-Do_Was,Fey,N/A,N/A,Very Rare,N/A,N/A,N/A,Genius (17-18),0%,Nil,LN,5-30,7,9,1,N/A,1,By weapon,+4 with bow,Nil,30%,S (3'),N/A,Nil,Nil,???,???,Dragon061,1e
Little People - Oh-Do-Was,Fey,N/A,N/A,Very Rare,N/A,N/A,N/A,Genius (17-18),0%,Nil,LN,5-30,7,9,1,N/A,1,By weapon,+4 with bow,Nil,30%,S (3'),N/A,Nil,Nil,???,???,Dragon061,1e
Living Hair,Monstrous Humanoid,Any,Any,Very Rare,Solitary,Night,"Hair, Fur",Average (8-10),N/A,Nil,NE,1,7,12,5,15,2,1-6(x2),Strangulation,Special,50%,M,15-16,Nil,Nil,N/A,975,Dragon252,2e
Living Idol - Animal,Monster,Any,Any,Very Rare,Solitary,Any,Sacrifices,Semi (2-4),N/A,Incidental,LN,1,4,6,9,3,1,4-32,Charm,+3 to hit; Immune to most spells,Nil,L (10-12'),20,Nil,Nil,N/A,9000,"TSR 2129 - Monstrous Compendium, Al-Qadim Appendix",2e
Living Idol - Death,Monster,Any,Any,Very Rare,Solitary,Any,Sacrifices,Semi (2-4),N/A,Incidental,NE,1,4,3,16,3,1,4-32,Charm,+3 to hit; Immune to most spells,Nil,L (10-12'),20,Nil,Nil,N/A,16000,"TSR 2129 - Monstrous Compendium, Al-Qadim Appendix",2e
Living Idol - Elemental,Monster,Any,Any,Very Rare,Solitary,Any,Sacrifices,Semi (2-4),N/A,Incidental,CN,1,4,Nil,12,3,1,4-32,Charm,+3 to hit; Immune to most spells,Nil,L (10-12'),20,Nil,Nil,N/A,12000,"TSR 2129 - Monstrous Compendium, Al-Qadim Appendix",2e
Living Idol - Healing,Monster,Any,Any,Very Rare,Solitary,Any,Sacrifices,Semi (2-4),N/A,Incidental,NG,1,4,3,12,3,1,4-32,Charm,+3 to hit; Immune to most spells,Nil,L (10-12'),20,Nil,Nil,N/A,12000,"TSR 2129 - Monstrous Compendium, Al-Qadim Appendix",2e
Living Lahar,Ooze,Any,Volcanic land,Very Rare,Solitary,Constant,Everything in its path,Semi (2-4),N/A,Special,CE,1,3,Special,8,13,1,2-20,Suffocate,Unaffected by edged weapons,30%,G (25-100'),19-20,Nil,Nil,N/A,7000,Dragon265,2e
Living Pool,Monster,N/A,N/A,Not Listed,N/A,N/A,N/A,Non (0),100%,Special,N(E),1,7,3,13,9,1 per target,3-12 each,Acid (1-8),Disguise,Standard,L,N/A,Nil,Nil,???,???,TSR 9202 - I13 - Adventure Pack,1e
Living Steel,Monster,Any,Subterranean,Very Rare,Solitary,Any,Metal,Average (8-10),N/A,Special,N,1,-2,"12, Sw 36 (in metal)",10,11,2,1-10(x2),Special,+2 to hit; Special,20%,M (6'),19-20,Nil,Nil,N/A,5000,"TSR 2145 - Monstrous Compendium Annual, Volume One",2e
Living Tattoo - Dark Man,Monster,Ravenloft,Nightmare,Very Rare,Bonded,Any,Special,Low (5-7),N/A,Nil,CN,1,7,12,3+3,17,1,2-4,Strength drain,+1 to hit; Spell immunity,Nil,M (6'),11-12,Nil,Nil,N/A,420,"TSR 2153 - Monstrous Compendium, Ravenloft Appendix III",2e
Living Tattoo - Living Spear,Monster,Ravenloft,Nightmare,Rare,Bonded,Any,Special,Animal (1),N/A,Nil,N,1-2,1,Nil,2+2,19,1,2-7,Poison weapons,+1 to hit; Spell immunity,Nil,M (4-5'),11-12,Nil,Nil,N/A,420,"TSR 2153 - Monstrous Compendium, Ravenloft Appendix III",2e
Living Tattoo - Panther,Monster,Ravenloft,Nightmare,Rare,Bonded,Any,Special,Semi (2-4),N/A,Nil,N,1,6,15,3+2,17,3,1-3(x2)/1-8,Surprise; Rear claw rake,+1 to hit; Spell immunity,Nil,M (5-6'),11-12,Nil,Nil,N/A,270,"TSR 2153 - Monstrous Compendium, Ravenloft Appendix III",2e
Living Tattoo - Raven,Monster,Ravenloft,Nightmare,Rare,Bonded,Any,Special,Very (11-12),N/A,Nil,NG,1,6,"1, Fl 36 (B)",2+2,19,1,3-6,Detect Lie,+1 to hit; Spell immunity,Nil,S (3'),13-14,Nil,Nil,N/A,420,"TSR 2153 - Monstrous Compendium, Ravenloft Appendix III",2e
Living Tattoo - Winged Snake,Monster,Ravenloft,Nightmare,Very Rare,Bonded,Any,Special,Average (8-10),N/A,Feathers,N,1,5,"12, Fl 18 (B)",4+4,17,1,1-4,Poison; Spark shower,+1 to hit; Spell immunity,Nil,M (4-5'),13-14,Nil,Nil,N/A,975,"TSR 2153 - Monstrous Compendium, Ravenloft Appendix III",2e
Living Wall,Monster,Any,Any,Very Rare,Solitary,Any,Assimilation,Varies (3-18),N/A,Varies,CE,1,8 (Base),0,Varies,Varies,Varies,Varies,Special,Special,20%,L to G (rectangular area),20,Nil,Nil,N/A,"2000 to 100,000+",TSR 2140 - Monstrous Manual (Second Edition),2e
Lizard - Draco,Animal,Temperate,Forests and Hills,Uncommon,Pack,Any,Carnivore,Semi (2-4),N/A,U,N,1-4,5,"12, Glide 15",4+2,17,1,1-10,Surprise,Nil,Nil,M (6'),9,Nil,Nil,N/A,420,"TSR 2501 - Monstrous Compendium, Mystara Appendix",2e
Lizard - Fire,Animal,N/A,N/A,Very Rare,N/A,N/A,N/A,Animal (1),50%,"B,Qx10,S,T",N,1-4,3,9,10,N/A,3,1-8(x2)/2-16,Special,Special,Standard,L (30'),N/A,Nil,Nil,N/A,N/A,TSR 2009 - Monster Manual (First Edition),1e
Lizard - Fire,Animal,Warm,Land,Very Rare,Solitary,Day,Carnivore,Animal (1),N/A,"B,Q(x10),S,T",N,1-4,3,9,10,11,3,1-8(x2)/2-16,Special,Special,Nil,G (30'),11-12,Nil,Nil,N/A,3000,TSR 2140 - Monstrous Manual (Second Edition),2e
Lizard - Fire-eye,Magical Beast,N/A,N/A,Rare,N/A,N/A,N/A,Semi (2-4),95%,Nil,N,7-18,4,"3, Fl 48, Sw 12",1+2,N/A,1,1-4 or 2-5,Blinding light,Prismatic sphere,Standard,S,N/A,Nil,Nil,???,36+2,Dragon040,1e
Lizard - Giant,Animal,N/A,N/A,Uncommon,N/A,N/A,N/A,Non (0),0%,Nil,N,2-12,5,15,3+1,N/A,1,1-8,Special,Nil,Standard,L (15'),N/A,Nil,Nil,N/A,N/A,TSR 2009 - Monster Manual (First Edition),1e
Lizard - Giant,Animal,Warm,Land,Uncommon,Solitary,Day,Carnivore,Non (0),N/A,Nil,N,2-12,5,15,3+1,17,1,1-8,Special,Nil,Nil,H (15'),8-10,Nil,Nil,N/A,175,TSR 2140 - Monstrous Manual (Second Edition),2e
Lizard - Giant - Footpad,Animal,Temperate,Hills and Subterranean,Rare,Pack,Any,Omnivore,Semi (2-4),N/A,Nil,N,1-8,6,"12, Cl 6",2+1,19,1,1-6,Nil,Climb walls,Nil,L (8'),9,Nil,Nil,N/A,120,"TSR 2501 - Monstrous Compendium, Mystara Appendix",2e
Lizard - Giant - Gecko,Animal,Temperate,Forests,Uncommon,Pack,Night,Carnivore,Semi (2-4),N/A,U,N,1-6,5,"12, Cl 6",3+1,17,1,1-8,Surprise,Climb walls,Nil,M (5'),9,Nil,Nil,N/A,270,"TSR 2501 - Monstrous Compendium, Mystara Appendix",2e
Lizard - Giant - Tuatara,Animal,Dry Temperate,Plains,Uncommon,Pack,Night,Carnivore,Semi (2-4),N/A,V,N,1-2,4,9,6,15,1,1-6,Nil,Nil,Nil,L (8'),8,Nil,Nil,N/A,270,"TSR 2501 - Monstrous Compendium, Mystara Appendix",2e
Lizard - Giant Iguana,Animal,Temperate and Subtropical,Forests,Rare,Solitary,Night,Omnivore,Animal (1),N/A,Nil,N,1 (2-12),6,12,6+2,15,1,2-8,Swallow whole,Nil,Nil,L (8-10'),8-10,Nil,Nil,N/A,420,"TSR 2107 - Monstrous Compendium, Greyhawk Adventures Appendix",2e
Lizard - Gladiator,Animal,Bleak Shore (Lankhmar),Any,Very Rare,Group,Any,Carnivore,Very (11-12),N/A,Nil,NE,1-4,-3,15,7,13,2,1-10,Mental link,Nil,Nil,L (8'),19-20,Nil,Nil,N/A,1400,TSR 2137 - Lankhmar City of Adventure,2e
Lizard - Horned Chameleon,Animal,Temperate,Forests and Hills,Uncommon,Pack,Day,Carnivore,Semi (2-4),N/A,U,N,1-3,2,12,5,15,2,2-8/1-6,Surprise; Tail sweep,Nil,Nil,L (7'),10,Nil,Nil,N/A,420,"TSR 2501 - Monstrous Compendium, Mystara Appendix",2e
Lizard - Ice,Dragon,Arctic,N/A,Very Rare,N/A,N/A,N/A,Low (5-7),30%,G,CE,1-4,1,"9, Fl 15",3+3,N/A,3,1-6/1-3(x2),Spells; Breath weapon,Special,80%,S (3'),N/A,Nil,Nil,V,255+4,TSR 2012 - Fiend Folio (First Edition),1e
Lizard - Ice,Monster,N/A,Any,Very Rare,Solitary or Family,Day,Carnivore,Low (5-7),N/A,G,CE,1-4,1,"9, Fl 25 (C)",3+3,17,3,1-3(x2)/1-6,Spells; Breath weapon,Special,80%,S (3'),14,Nil,Nil,N/A,1400,"TSR 2132 - Monstrous Compendium, Fiend Folio",2e
Lizard - Lava,Magical Beast,Any,Volcanos and Subterranean,Very Rare,Pack,Any,Carnivore,Semi (2-4),N/A,Nil,N,1,3,9,4,17,1,1-6,Heat,Weapon Melt; Fire Immunity,Nil,M (6'),15,Nil,Nil,N/A,420,"TSR 2501 - Monstrous Compendium, Mystara Appendix",2e
Lizard - Minotaur,Animal,N/A,N/A,Rare,N/A,N/A,N/A,Non (0),80%,"J-N,Q,C (magic)",N,1-8,5,6,8,N/A,3,2-12(x2)/3-18,Special,Nil,Standard,L (40'),N/A,Nil,Nil,N/A,N/A,TSR 2009 - Monster Manual (First Edition),1e
Lizard - Minotaur,Animal,Tropical,Hills and Mountains,Rare,Solitary,Day,Carnivore,Non (0),N/A,"J-N,Q,C(magic)",N,1-8,5,6,8,13,3,2-12(x2)/3-18,Special,Nil,Nil,G (40'),8-10,Nil,Nil,N/A,975,TSR 2140 - Monstrous Manual (Second Edition),2e
Lizard - Poisonous - Gila Monster,Animal,Temperate,Forests and Savannahs,Uncommon,Solitary,Night,Carnivore,Animal (1),N/A,Nil,N,1,8 (4 at night),6 (9 at night),2+3,19,1,2-7,Poison; Latching bite,Nil,Nil,S (2-3'),9,Nil,Nil,N/A,270,Dragon237,2e
Lizard - Poisonous - Rough-Skinned Newt,Animal,Temperate,Savannah,Uncommon,Solitary,Any,Carnivore,Animal (1),N/A,Nil,N,1-2,7,3,1/4,20,1,Nil,Poison,Nil,Nil,"T (2-4"")",9,Nil,Nil,N/A,65,Dragon237,2e
Lizard - Rockhome,Animal,Non-Arctic,Subterranean,Common,Pack,Any,Omnivore,Semi (2-4),N/A,Nil,N,2-8,5,15,3,17,1,1-6,Nil,Nil,Nil,L (6'),10,Nil,Nil,N/A,65,"TSR 2501 - Monstrous Compendium, Mystara Appendix",2e
Lizard - Sand,Animal,N/A,N/A,Very Rare,N/A,N/A,N/A,Low (5-7),60%,A,N,1,2,12,10+2,N/A,3 or 5,2-16(x2)/1-6(x2)/1-8,Constriction with tail,Cannot be surprised when hiding,Standard,L (30-40'),N/A,Nil,Nil,???,???,Dragon045,1e
Lizard - Spitting Crawler,Animal,Non-Arctic,Subterranean,Rare,Solitary,Any,Omnivore,Low (7),N/A,Nil,LN,1,6,16,2,19,1,1-2,Acid spit,Cling to walls and ceilings,30%,S (3'),12,Nil,Nil,N/A,175,TSR 9326 - FOR2 - Drow of the Underdark,2e
Lizard - Subterranean,Animal,Any,N/A,Uncommon,N/A,N/A,N/A,Non (0),20%,"O,P,Qx5",N,1-6,5,12,6,N/A,1,2-12,Special,Nil,Standard,L (20'),N/A,Nil,Nil,N/A,N/A,TSR 2009 - Monster Manual (First Edition),1e
Lizard - Subterranean,Animal,N/A,Subterranean,Uncommon,Solitary,Day,Carnivore,Non (0),N/A,"O,P,Q(x5)",N,1-6,5,12,6,15,1,2-12,Special,Nil,Nil,H (20'),8-10,Nil,Nil,N/A,650,TSR 2140 - Monstrous Manual (Second Edition),2e
Lizard - Subterranean - Pack Lizard,Animal,Any,Any,Common,Solitary or Pack,Any,Omnivore,Low (5-7),N/A,Q,N(L),1-4 (1-20),3,"9, Sw 15",9,13,1,2-12,Nil,Special,Nil,H (15'+),13,Nil,Nil,N/A,1400,TSR 1083 - Menzoberranzan,2e
Lizard - Subterranean - Riding,Animal,Any,Subterranean,Common,Solitary or Pack,Any,Omnivore,Average (8-10),N/A,Nil,LN,1-6,7,"16, Sw 20",5,15,3,2-8/2-12(x2),Nil,Special,Nil,H (12'),13-14,Nil,Nil,N/A,975,TSR 1083 - Menzoberranzan,2e
Lizard - Tundra,Magical Beast,Arctic or Subarctic,Any,Rare,Solitary,Any,Omnivore,Animal (1),N/A,Nil,N,1,4,15,3,14,3,1-3(x2)/1-6,Special,Camouflage,Nil,S (3-4'),5-7,Nil,Nil,N/A,420,Dragon Annual 2 1997,2e
Lizard - Xytar,Magical Beast,Subtropical and Tropical,Deserts,Rare,Pack,Day,Carnivore,Semi (4),N/A,Nil,N,1-6,3,12,5+1,15,1,1-10,Breath weapon,Nil,Nil,L (8'),13,Nil,Nil,N/A,650,"TSR 2501 - Monstrous Compendium, Mystara Appendix",2e
Lizard - Zhakar - Fastclaw,Animal,Any,Any,Rare,Solitary,Day,Carnivore,Non (0),N/A,Nil,N,1,5,15,1,20,1,1-6,Special,Fire Resistance,Nil,M,3,Nil,Nil,N/A,15,TSR 1086 - Dwarven Kingdoms of Krynn,2e
Lizard - Zhakar - Warclaw,Animal,Any,Any,Rare,Solitary,Day,Carnivore,Non (0),N/A,Nil,N,1,3,15,3+3,17,3,1-8/1-6(x2),Special,Fire Resistance,Nil,L,11,Nil,Nil,N/A,120,TSR 1086 - Dwarven Kingdoms of Krynn,2e
Lizard King,Humanoid,N/A,N/A,Very Rare,N/A,N/A,N/A,Average (8-10),20%,E,CE,1,3,"15, Sw 12",8,N/A,1,5-20,Skewering,Nil,20%,L (8'),N/A,Nil,Nil,VI,550+10,TSR 2012 - Fiend Folio (First Edition),1e
