Creature,Size,Type,Subtypes,HD,(hp),Spd,s/f/b/c,AC,t,ff,Grpl,Attack,Full Attack,Special Attacks,SLAs,Special Qualities,F,R,W,S,D,Co,I,W,Ch,Environment,frqncy,Aln,CR,Book,,,"Entries in italics are creatures whose description includes a ""x as characters"" entry and who have a level adjustment. Player's Handbook races and their variants that do not include level adjustments will be omitted from this database.",,,,,,,,,,,,,
"Guardinal, Musteval",Tiny,Outsider,"Extraplanar, Good, Guardinal",2,11,30,b10,20,16,16,-8,Bite +8 (1d3-2),Same as Attack,SLAs,"CL3, at will - detect evil, detect magic, disguise self, magic missile, protection from evil (self only), see invisibility; 1/day - invisibility","Immunity to electricity and petrification, focused movement, resistance to acid 10 and cold 10, +4 on saves vs. poison",4,7,5,7,18,12,11,14,13,Elysium,always,NG,2    ,BoED,,,,,,,,,,,,,,,,
"Guardinal, Ursinal",Large,Outsider,"Extraplanar, Good, Guardinal",10,75,30,,24,11,22,18,Claw +13 (1d8+4),2 claws and bite +8 (1d8+2),"Improved grab, spells (wiz12), SLAs","CL12, at will - aid, daylight, deep slumber, detect evil, detect magic, detect thoughts, dimension door, dispel magic, hold monster, magic circle against evil (self only), magic missile, see invisibility, solid fog; 3/day - heal, neutralize poison, remove disease; 1/day - holy word","DR 10/evil or silver, immunity to electricity and petrification, lay on hands, resistance to acid 10 and cold 10, speak with animals, SR 22, tongues, uncanny dodge, +4 on saves vs. poison",10,9,10,19,14,17,18,17,18,Elysium,always,NG,10,BoED,,,,,,,,,,,,,,,,
Gulgar,Large,Monstrous Humanoid,Earth,10,75,20,,22,7,22,19,Warhammer +14 (2d6+5/x3) or slam +14 (1d6+5) or composite longbow (+5 Str bonus) +7 (2d6+5/x3),Warhammer +14/+9 (2d6+5/x3) and gore +9 (2d6+2); or 2 slams +14 (1d6+5) and gore +9 (2d6+2); or composite longbow (+5 Str bonus) +7/+2 (2d6+5/x3),"Crystalline bone, sonic pulse",,"DR 10/adamantine, DV60, immunity to sonic, stability, subsonic speech, tremorsense 30ft",6,5,8,20,7,17,10,12,13,Temperate mountains,usually,NN,9    ,MM3,,,,,,,,,,,,,,,,
Gulguthydra,Huge,Aberration,,15,172,30,s30,23,8,23,24,Tentacle +14 (1d6+5),2 tentacles and 6 bites +12 (2d8+12),Improved grab,,"DV60, nauseating stench",12,5,10,20,10,24,6,9,15,Any land and underground,usually,NN,12,MoF,,,,,,,,,,,,,,,,
Gutpuppet,Small,Aberration,,4,38,5,,14,14,11,-2,Spikes +7 (1 plus poison),Same as Attack,"Fluidic burst, poison, spike spit",,"Corpse armor, walk corpse",6,4,4,9,16,20,2,10,5,Any,always,NN,3    ,Web,,,,,,,,,,,,,,,,
Guulvorg,Huge,Magical Beast,,14,175,60,,26,12,22,31,Bite +21 (2d6+9/19-20/x4 plus trip),Bite and tail +19 (4d8+13),"Quick tail, trip",,"Boiling blood, DR 10/magic, DV120, immunity to cold, LLV, resistance to fire 15, scent",16,13,9,28,18,24,6,16,12,Temperate forests,usually,NE,13,MM5,,,,,,,,,,,,,,,,
Gwynharwyf (The Whirling Fury) (humanoid form),Medium,Outsider,"Chaotic, Eladrin, Extraplanar, Good",26,377,50,,47,35,40,38,+3 holy keen scimitar +41 (1d6+15/15-20 plus 2d6 holy) or slam +38 (1d6+18), +3 holy keen scimitar +41/+36/+31/+26 (1d615/15-20 plus 2d6 holy); or 2 slams +38 (1d6+18); or +3 holy keen scimitar +37/+32/+27/+22 (1d6+15/15-20 plus 2d6 holy) and +2 holy banishing scimitar +37/+32/+27 (1d6+14/18-20 plus 2d6 holy and banishment),"Mighty rage, SLAs","CL20, at will - blur, charm person, gust of wind, mirror image, wind wall; 2/day - lightning bolt, cure serious wounds","Alternate form, DR 20/cold iron and evil, DV60, immunity to electricity and petrification, improved uncanny dodge, LLV, protective aura, resistance to cold 10 and fire 10, SR 39, tongues",25,24,23,35,25,30,23,23,29,Arborea,always,CG,26,BoED,,,,,,,,,,,,,,,,
Gwynharwyf (The Whirling Fury) (whirlwind form),Medium,Outsider,"Chaotic, Eladrin, Extraplanar, Good, Incorporeal",26,377,,f100 (prf),47,35,40,-,Slam +38 (1d6+18),Slam +38/+33/+28/+23 (1d6+18),"Mighty rage, SLAs, whirlwind blast","CL20, at will - blur, charm person, gust of wind, mirror image, wind wall; 2/day - lightning bolt, cure serious wounds","Alternate form, DR 20/cold iron and evil, DV60, immunity to electricity and petrification, improved uncanny dodge, LLV, protective aura, resistance to cold 10 and fire 10, SR 39, tongues",25,24,23,-,25,30,23,23,29,Arborea,always,CG,26,BoED,,,,,,,,,,,,,,,,
Hadozee,Medium,Humanoid,Hadozee,1,5,30,,13,10,13,2,Falchion +2 (2d4+1/18-20) or javelin +1 (1d6+1),Same as Attack,-,,"Gliding, hadozee traits",3,0,-1,13,11,12,10,9,8,Warm forests,often,NN,1/2,Storm,,,,,,,,,,,,,,,,
"Hadozee, First Mate",Medium,Humanoid,Hadozee,3,20,30,,16,12,14,4,Cutlass +6 (1d6+1/19-20),Cutlass +4 (1d6+1/19-20) and cutlass +4 (1d6/19-20),Favored enemy (animals) +2,,"Gliding, hadozee traits, wild empathy +6 (+2 magical beast)",4,5,1,12,15,13,8,10,14,Warm forests,often,NN,3    ,Storm,,,,,,,,,,,,,,,,
"Hag, Annis",Large,Monstrous Humanoid,,7,45,40,,20,10,19,18,Claw +13 (1d6+7),2 claws and bite +8 (1d6+3),"Improved grab, rake 1d6+7, rend 2d6+10, SLAs","CL8, 3/day - disguise self, fog cloud","DR 2/bludgeoning, DV60, SR 19",6,6,6,25,12,14,13,13,10,Cold marshes,usually,CE,6    ,MM1,,,,,,,,,,,,,,,,
"Hag, Bheur (enLarged form)",Large,Monstrous Humanoid,,10,85,30,f30 (avg),24,12,21,19,Slam +14 (1d6+1 plus 1d6 cold),Same as Attack,"Graystaff focus, maddening feast, SLAs","CL10 (with Graystaff only), at will - hold person, solid fog; 3/day - cone of cold, ice storm, wall of ice; CL10 (not Graystaff dependent), at will - chill metal, ray of frost, Snilloc's snowball storm; 1/tenday - control weather","DV60, immunity to cold, resistance to fire 10, size change, SR 20, vulnerability to acid and electricity",11,9,6,21,14,18,12,13,12,Cold mountains,always,CE,9    ,UE,,,,,,,,,,,,,,,,
"Hag, Bheur (natural form)",Medium,Monstrous Humanoid,,10,65,30,f60 (gd),23,13,20,11,Slam +11 (1d6+1 plus 1d6 cold),Same as Attack,"Graystaff focus, maddening feast, SLAs","CL10 (with Graystaff only), at will - hold person, solid fog; 3/day - cone of cold, ice storm, wall of ice; CL10 (not Graystaff dependent), at will - chill metal, ray of frost, Snilloc's snowball storm; 1/tenday - control weather","DV60, immunity to cold, resistance to fire 10, size change, SR 20, vulnerability to acid and electricity",9,10,6,13,16,14,12,13,12,Cold mountains,always,CE,9    ,UE,,,,,,,,,,,,,,,,
"Hag, Dune",Large,Monstrous Humanoid,,5,37,40,,18,10,17,14,Claw +10 (1d6+5),2 claws and bite +5 (1d6+2),"Enthrall, improved grab, SLAs","CL7, 3/day - disguise self, haboob, skin of the cactus; 1/day - hallucinatory terrain","DR 2/-, DV60, SR 18",4,5,5,21,13,16,12,12,15,Warm deserts,always,CE,4    ,Sand,,,,,,,,,,,,,,,,
"Hag, Dusk",Medium,Monstrous Humanoid,,6,39,30,,21,11,20,9,Claw +9 (1d4+3),2 claws,"Nightmare touch, SLAs","CL6, at will - detect magic; 3/day - augury, disguise self, fog cloud, tongues, zone of truth","DR 5/cold iron and magic, DV60, immunity to charm, fear, and sleep, insight, SR 20",4,6,10,17,12,15,14,16,13,Temperate marshes,usually,NN,4    ,ECS,,,,,,,,,,,,,,,,
"Hag, Green Hag",Medium,Monstrous Humanoid,,9,49,30,s30,22,11,21,13,Claw +13 (1d4+4),2 claws,"Mimicry, SLAs, weakness","CL9, at will - dancing lights, disguise self, ghost sound, invisibility, pass without trace, tongues, water breathing","DV90, SR 18",6,7,7,19,12,12,13,13,14,Temperate marshes,usually,CE,5    ,MM1,,,,,,,,,,,,,,,,
"Hag, Marzanna",Medium,Monstrous Humanoid,Cold,8,52,30,s30,20,11,19,13,Claw +13 (1d6+5),2 claws,"Dreadful eye, rend 2d6+7, SLAs","CL8, at will - dancing lights, ghost sound, obscuring snow, pass without trace, ray of frost; 3/day - bestow curse, disguise self, numbing sphere, wall of ice; 1/day - ice storm; 1/week - control weather, nightmare","DV90, immunity to cold, SR 15, vulnerability to fire",6,7,7,21,12,14,14,13,13,Cold forests,usually,CE,6    ,Frost,,,,,,,,,,,,,,,,
"Hag, Sea Hag",Medium,Monstrous Humanoid,Aquatic,3,19,30,s40,14,11,13,7,Claw +7 (1d4+4(,2 claws,"Evil eye, horrific appearance",,"Amphibious, SR 14",2,4,4,19,12,12,10,13,14,Temperate aquatic,usually,CE,4    ,MM1,,,,,,,,,,,,,,,,
"Hag, Shrieking",Medium,Monstrous Humanoid,,12,90,30,f80 (gd),21,11,20,17,Claw +17 (1d4+5),2 claws,"Rend 2d4+10, shriek, SLAs","CL12, at will - change self, dancing lights, ghost sound, gust of wind, shocking grasp, wind wall; 3/day - charm person, control winds, greater invisibility, lightning bolt, see invisibility, suggestion; 1/day - charm monster, great sh9out, polymorph (self only), whirlwind; 1/tenday - control weather","DV60, immunity to cold, sonic resistance 10, SR 21",11,9,8,20,13,16,11,15,14,Cold plains,always,CE,10,UE,,,,,,,,,,,,,,,,
"Hag, Tunnel",Medium,Monstrous Humanoid,,8,47,20,,21,11,20,14,Claw +14 (1d6+9),2 claws,SLAs,"CL9, at will - change self, dancing lights, ghost sounds, pass without trace; 3/day - deeper darkness, fear, tongues","Bolster, DV60, dwarven traits, immunity to fear",3,7,7,22,12,13,13,13,10,Underground,always,CE,4    ,DDen,,,,,,,,,,,,,,,,
Hagspawn,Medium,Monstrous Humanoid,,1,5,20,,19,10,19,2,Bastard sword +2 (1d10+1/19-20),Same as Attack,-,,"DV60, SR 12",3,0,0,12,11,13,10,11,8,Any land,usually,CE,2    ,UE,,,,,,,,,,,,,,,,
Hagunemnon (Protean),Large,Aberration,"Psionic, Shapechanger",44,814,50,,50,22,37,58,Slam +53 (2d6+21/19-20),5 slams,"Destabilize form, PLAs","ML20, at will - detect thoughts, dimension door, ethereal jaunt, knock, nondetection, plane shift, suggestion","Alter shape, DR 10/epic, DV120, immunities, regeneration 50, SR 39",40,39,32,53,37,39,20,23,34,Any,always,CN,29,ELH,,,,,,,,,,,,,,,,
Hai Nu,Medium,Humanoid,Aquatic,2,9,10,s60,14,11,13,1,Longspear +2 (1d8/x3) or light crossbow +2 (1d8/19-20),Same as Attack,-,,"Immunity to water-based attacks, vulnerability to fire",3,1,1,10,12,10,13,13,11,Warm aquatic,usually,NN,1/2,OA,,,,,,,,,,,,,,,,
"Half-Fiend, Durzagon",Medium,Outsider,"Evil, Lawful",5,32,30,,13,12,11,7,Claw +7 (1d6+2),2 claws and bite +2 (1d6+1) and beard +2 (1d3+1 plus poison),"Beard, poison, SLAs",,"DV120, DR 5/magic, duergar traits, immunity to paralysis, phantasms, and poisons, resistance to acid 10, cold 10, electricity 10, and fire 10, light sensitivity, SR 15",6,6,4,15,14,15,14,11,8,Underground,usually,LE,4    ,MM2,,,,,,,,,,,,,,,,
Half-Giant,Medium,Giant,Psionic,1,6,30,,13,9,13,7,Large greatsword +4 (3d6+3/19-20) or Large javelin +0 (1d8+2),Same as Attack,PLAs,"ML=1/2HD (min1), 1/day - stomp","Fire acclimated, powerful build, LLV",4,-1,-1,15,9,14,10,9,8,Warm deserts,usually,NG,1    ,EPH,,,,,,,,,,,,,,,,
"Half-Orc, Infiltrator",Medium,Humanoid,Orc,3,16,30,,16,12,14,2,Masterwork dagger +5 (1d4/19-20),Same as Attack,Sneak attack +2d6,,"DV60, evasion, trapfinding",2,5,1,10,15,13,10,10,12,Temperate hills,usually,NE,3    ,MM4,,,,,,,,,,,,,,,,
Hamaguan (Octopaur),Large,Monstrous Humanoid,"Aquatic, Psionic",5,32,10,s50,14,11,12,13,Trident +8 (2d6+6) or Huge shortspear +8 (2d8+6/x3),Same as Attack,PLAs,"ML16, 3/day - combat prescience, mental barrier (+5AC, 8 rds*), mind thrust (16d10*), prowess, shield of prudence, thought shield (PR 26, 14 rds*), vigilance","Amphibious, DV60, freshwater sensitivity, ink cloud, jet, light blindness, PR 15, scent, speak with cephalopods, underwater sense",3,6,5,19,15,14,14,13,8,Any aquatic,usually,LE,4    ,Web,,,,,,,,,,,,,,,,
Hammerclaw,Large,Magical Beast,Aquatic,6,54,20,s20,18,9,18,14,Claw +9 (1d6+4),2 claws,"Constrict 2d6+4, improved grab, sonic pulse",,"Amphibious, DV60, resistance to sonic 10",8,5,5,19,10,17,4,12,8,Temperate aquatic,usually,NE,4    ,Storm,,,,,,,,,,,,,,,,
Hammerfish,Garg.,Magical Beast,"Aquatic, Psionic",24,276,,s60,26,8,24,49,Bite +34 )2d8+19),Same as Attack,"PLAs, ram","ML14, 3/day - concussion blast (9d6*), concussive detonation (9d6*), ego whip (4d4 Cha*), energy adaptation (immediate action*), id insinuation (6 targets*), mental barrier (+5 AC, 6 rds*), thought shield (PR 24, 12 rds*)",Blindsight 240ft,20,16,9,36,15,22,13,13,8,Any aquatic,usually,NN,13,Web,,,,,,,,,,,,,,,,
Ha-Naga,Coloss.,Aberration,,20,310,60,f120 (prf),40,16,26,39,Coil whip +21 (4d6+8),Coil whip and sting +19 (2d8+4 plus poison) and bite +13 (4d8+4),"Charming gaze, constrict 4d6+12, improved grab, poison, spells (sor21)",,"Chameleon ability, DR 5/epic, DV60, flight, SR 30",17,22,22,27,38,32,35,31,36,Any land and underground,usually,CE,22,ELH,,,,,,,,,,,,,,,,
"Handlinger, Dextrier",Tiny,Aberration,Symbiont,6,33,10,,18,15,15,6,Tail whip +9 (1d3-2 plus paralysis),Same as Attack,"Improved grab, paralyzing touch, ride flesh, SLAs, spitsear","CL6, at will - detect magic, detect thoughts, levitate","Blindsight 60ft, DR 5/silver, Ego 19, enhance host, SR 16, telepathy 60ft",3,5,6,6,16,12,16,12,15,Any land and underground,always,LE,3    ,352,,,,,,,,,,,,,,,,
"Handlinger, Sinistral",Tiny,Aberration,Symbiont,6,33,10,,18,15,15,6,Tail whip +9 (1d3-2 plus paralysis),Same as Attack,"Improved grab, paralyzing touch, ride flesh, SLAs","CL6, at will - detect magic, detect thoughts, levitate","Blindsight 60ft, DR 5/silver, Ego 19, enhance host, SR 16, telepathy 60ft",3,5,6,6,16,12,16,12,15,Any land and underground,always,LE,3    ,352,,,,,,,,,,,,,,,,
Hannya,Medium,Monstrous Humanoid,,8,44,20,,17,12,15,9,Claw +9 (1d4+1),2 claws and bite +4 (1d4),"Constrict 1d4+1, improved grab, suggestion, SLAs","CL8, at will - detect thoughts","Aversion to violets, change shape, SR 14",3,8,6,12,15,12,10,11,13,Any land,always,CE,4    ,"OA, 318",,,,,,,,,,,,,,,,
Harbinger (Agares' Companion),Small,Magical Beast,"Augmented Animal, Extraplanar",24,204,10,f100 (avg),40,24,27,20,Claw +32 (1d8+6/19-20),2 claws and bite +30 (1d8+3),Smite good 1/day,,"DV60, devotion, improved evasion, link with master, LLV, resistance to cold 10 and fire 10, SR 25",18,27,11,22,36,18,3,17,13,Baator (Stygia),always,LE,12,361,,,,,,,,,,,,,,,,
"Dinosaur, Cliff Raptor",Medium,Animal,,4,30,60,c60,15,13,12,4,Talons +6 (1d6+1),Talons and bite +4 (1d6) and 2 claws +4 (1d4),Leap,,"LLV, surefooted",7,7,3,13,17,16,2,14,11,Temperate mountains,always,NN,3    ,Web,,,,,,,,,,,,,,,,
Harpoon Spider,Large,Aberration,,5,47,40,c20,16,13,12,10,Bite +5 (1d8+3 plus poison) or fang +6 (1d4+1 plus harpooning),Bite or 2 fangs,"Harpooning, poison",,"DV120, evasion, spines, web movement",5,5,5,17,19,18,14,12,9,Underground,usually,CE,4    ,MM3,,,,,,,,,,,,,,,,
"Harpoon Spider, Dread",Huge,Aberration,,9,103,40,c20,19,11,16,21,Bite +11 (2d6+7 plus poison) or fang +7 (1d6+3 plus harpooning),Bite and 2 fangs +2 (1d6+3 plus harpooning),"Harpooning, poison",,"DV120, evasion, spines, web movement",9,8,7,25,17,23,14,12,9,Underground,usually,CE,9    ,MM3,,,,,,,,,,,,,,,,
Harpy,Medium,Monstrous Humanoid,,7,31,20,f80 (avg),13,12,11,7,Club +7 (1d6),Club +7/+2 (1d6) and 2 claws +2 (1d3),Captivating song,,DV60,2,7,6,10,15,10,7,12,17,Temperate marshes,usually,CE,4    ,MM1,,,,,,,,,,,,,,,,
"Harpy, Archer",Medium,Monstrous Humanoid,,14,103,20,f80 (avg),23,16,18,15,+1 frost composite longbow (+1 Str bonus) +22 (1d8+4/19-20/x3 plus 1d6 cold) or claw +15 (1d3+1),+1 frost composite longbow (+1 Str bonus) +22/+17/+12 (1d8+4/19-20/x3 plus 1d6 cold) or 2 claws +15 (1d3+1),Captivating song,,DV60,11,14,11,12,20,14,6,11,19,Temperate marshes,usually,CE,11,MM1,,,,,,,,,,,,,,,,
"Harpy, Grave",Medium,Monstrous Humanoid,,5,32,20,"b10, f80 (avg)",13,13,10,4,Claw +4 (1d4-1 plus decaying touch) or club +4 (1d4-1),2 claws or club,"Decaying touch, summoning song",,DV60,3,7,3,9,16,14,8,9,10,Any temperate,usually,CE,3    ,DDen,,,,,,,,,,,,,,,,
Harssaf,Medium,Monstrous Humanoid,Fire,6,45,30,b10,20,13,17,8,Kukri +10 (1d4+2/18-20 plus 1d6 fire),Kukri +8/+3 (1d4+2/18-20 plus 1d6 fire) and kukri +8 (1d4+1/18-20 plus 1d6 fire),"Flaming aura, sand pulse",,"Blindsense 30ft, DR 5/bludgeoning, FH3, immunity to blindness and fire, sand form, SR 17, vulnerability to cold",5,10,5,14,16,16,11,11,13,Warm deserts,usually,LE,5    ,MM3,,,,,,,,,,,,,,,,
Hatori,Large,Dragon,Earth,10,115,10,b60,22,12,19,20,Bite +15 (2d6+6),Bite and tail +10 (1d8+3),"Improved grab, pounce, swallow whole",,"DR 10/magic, DV60, immunity to paralysis and sleep, improved burrow, LLV, scent, tremorsense 60ft",13,10,9,23,16,21,7,14,10,Temperate deserts,usually,CN,8    ,BoK,,,,,,,,,,,,,,,,
"Haunt, Bridge",Medium,Undead,Incorporeal,12,90,30,f30 (prf),17,17,14,-,Incorporeal touch +10 (3d6 plus push),2 incorporeal touches,"Push, SLAs","CL12, 3/day - mass suggestion; 1/day - mirage arcana","Bridge dependent, DV60, living visage, rejuvenation, unnatural aura",4,9,9,-,16,-,10,13,19,Any,usually,NE,7    ,MM5,,,,,,,,,,,,,,,,
"Haunt, Forest",Huge,Undead,Incorporeal,12,78,,f30 (prf),11,11,11,-,Incorporeal touch +5 (1d4 Cha),Same as Attack,"Arboreal vengeance, Charisma damage",,"DR 10/slashing, DV60, LLV, rejuvenation, +2 turn resistance, vulnerability to fire",4,4,13,-,10,-,12,16,16,Any forest,usually,NE,10,MM5,,,,,,,,,,,,,,,,
"Haunt, Taunting",Medium,Undead,Incorporeal,6,39,,f40 (prf),14,14,12,-,Incorporeal touch +5 (1 Cha),Same as Attack,"Charisma damage, SLAs, tripping tongue, vicious lampoon","CL6, at will - daze, ghost sound, summon instrument; 3/day - grease, invisibility, Tasha's hideous laughter; 1/day - fear, glibness","DV60, encore, font of knowledge, +2 turn resistance",2,4,5,-,14,-,13,11,15,Urban,usually,CN,4    ,MM5,,,,,,,,,,,,,,,,
Havoc Orb,Large,Aberration,,24,204,20,,20,19,27,24,Claw +19 (1d8+2),2 claws,"Eldritch blast 9d6, empower eldritch blast, maximize eldritch blast, SLAs, wild magic aura","CL20, at will - suggestion; 3/day - quickened greater dispel magic, phantasmal killer; 1/day - displacement, good hope","Blasphemous geometries, blindsight 60ft, DR 10/-, DV60, geometric vision, SR 30, that won't work on me twice",12,11,16,15,17,18,25,14,22,Any forest,always,LE,16,363,,,,,,,,,,,,,,,,
"Dinosaur, Deinonychus",Medium,Animal,,4,34,60,,17,12,15,7,Talons +7 (1d8+4),Talons and 2 foreclaws +2 (1d3+2) and bite +2 (2d4+2),Pounce,,"LLV, scent",8,6,2,19,15,19,2,12,10,Warm forests,always,NN,3    ,MM1,,,,,,,,,,,,,,,,
"Dinosaur, Dimetrodon",Large,Animal,,4,33,10,s10,13,8,13,7,Bite +7 (1d8+6),Same as Attack,Burst of speed,,"LLV, scent",7,2,1,18,6,17,1,10,10,Warm marshes,always,NN,2    ,318,,,,,,,,,,,,,,,,
Hebi-no-onna,Medium,Monstrous Humanoid,Spirit,14,56,30,s30,20,19,19,14,Serpent bite +15 (1d4 plus poison),2 serpent bites and bite +10 (1 plus poison),"Hypnotic gaze, poison, snake command, spells (sor14)",,"Immunity to poison, serpent immunity",6,10,12,10,13,10,17,16,17,Any warm,usually,LE,15,OA,,,,,,,,,,,,,,,,
Hell Bovine,Large,Magical Beast,Extraplanar,11,70,20,,15,7,15,13,Poleaxe +14 (1d10+3/x3),Poleaxe +14/+9/+4 (1d10+3/x3),"Rage, trample 1d8+5",,DR 10/-,8,4,3,7,6,15,7,10,6,Baator,always,LE,9    ,Web,,,,,,,,,,,,,,,,
Hell Hound,Medium,Outsider,"Evil, Extraplanar, Fire, Lawful",4,22,40,,16,11,15,5,Bite +5 (1d8+1 plus 1d6 fire),Same as Attack,"Breath weapon 2d6 fire, fiery bite",,"DV60, immunity to fire, scent, vulnerability to cold",5,5,4,13,13,13,6,10,6,Baator,always,LE,3    ,MM1,,,,,,,,,,,,,,,,
"Hell Hound, Nessian Warhound",Large,Outsider,"Evil, Extraplanar, Fire, Lawful",12,114,40,,24,11,22,24,Bite +20 (2d6+12/19-20 plus 1d8 fire),Same as Attack,"Breath weapon 3d6 fire, fiery bite",,"DV60, immunity to fire, scent, vulnerability to cold",13,10,9,26,14,20,4,12,6,Baator (Nessus),always,LE,9    ,MM1,,,,,,,,,,,,,,,,
Hellchain Weaver,Garg.,Outsider,"Evil, Extraplanar, Lawful",14,175,30,c50,26,10,26,35,Chain +19 (2d6+9/17-20),4 chains,"Grinder, improved grab, pounce, rasping metal",,"DR 10/good or silver, DV60, immunity to cold, iron web, regeneration 5, SR 24, tremorsense 60ft",17,13,12,28,18,27,6,16,15,Baator,always,LE,13,343,,,,,,,,,,,,,,,,
Hellfire Wyrm,Huge,Dragon,Fire,23,333,60,"b30, f250 (clu)",36,8,36,47,Bite +30 (2d8+9),Bite and 2 claws +25 (2d6+4),"Breath weapon 14d10 infernal fire, crush 2d8+13, frightful presence, SLAs","CL20, at will - blasphemy, charm person, demand, desecrate, dictum, fire storm, greater dispel magic, hold person, greater invisibility, misdirection, pyrotechnics, sending, suggestion, greater teleport, true seeing (divine version), unholy aura, unhallow, wall of fire","Alternate form, DR 15/epic, immunity to fire, infernal aura, keen senses, SR 37, summon baatezu, vulnerability to cold",21,13,21,29,10,27,23,26,28,Any land and underground,always,LE,26,MM2,,,,,,,,,,,,,,,,
Helmed Horror,Medium,Construct,,13,94,30,,26,15,24,14,Masterwork greatsword +16 (2d6+7/17-20) or heavy crossbow +11 (1d10/19-20),Masterwork greatsword +16/+11 (2d6+7/17-20); or heavy crossbow +11 (1d10/19-20),-,,"Air walk, DV60, immunity to magic missile, rapid repair, see invisible, spell immunities, weapon power",6,6,7,20,15,-,13,16,16,Any,usually,NN,8    ,LEoF,,,,,,,,,,,,,,,,
"Helmed Horror, Battle Horror",Medium,Construct,,20,130,40,,28,15,26,23,Masterwork greatsword +25 (2d6+12/17-20) or heavy crossbow +17 (1d10/19-20),Masterwork greatsword +25/+20/+15 (2d6+12/17-20); or heavy crossbow +17 (1d10/19-20),SLAs,"CL7, at will - magic missile; 3/day - blink; 1/day - dimension door","Air walk, DV60, immunity to magic missile, rapid repair, see invisible, spell immunities, weapon power",6,8,11,26,15,-,13,16,16,Any,usually,LE,12,LEoF,,,,,,,,,,,,,,,,
Hengeyokai,Medium,Humanoid,Shapechanger,1,5,30,,13,10,13,1,Katana +4 (1d10+1),Same as Attack,-,,Alternate form,3,0,-2,13,11,12,10,7,8,Any,usually,CX,1/2,"OA, 318",,,,,,,,,,,,,,,,
Herding Beast,Large,Magical Beast,,6,75,50,,18,11,16,16,Gore +11 (1d6+6),Gore and 2 hooves +6 (1d6+3),Frightful presence,,"DV60, immunity to charm and compulsion effects, scent",12,7,3,22,14,24,8,13,8,Temperate plains,always,NN,7    ,DDen,,,,,,,,,,,,,,,,
"Dinosaur, Fleshraker",Medium,Animal,,4,26,50,,20,14,16,6,Claw +6 (1d6+3 plus poison),2 claws and bite +1 (1d6+1); or 2 claws and tail +1 (1d6+1 plus poison),"Leaping pounce, poison, rake 1d6+2",,"LLV, scent",6,8,3,17,19,15,2,14,12,Temperate forests,always,NN,2    ,MM3,,,,,,,,,,,,,,,,
Hippocampus,Large,Magical Beast,Aquatic,3,25,,s50,14,11,12,10,Tail slap +5 (1d6+3),Tail slap and bite 0 (1d4+1),-,,DV60,6,5,4,16,15,16,5,13,8,Temperate aquatic,always,NN,2    ,Storm,,,,,,,,,,,,,,,,
Hippogriff,Large,Magical Beast,,3,25,50,f100 (avg),15,11,13,11,Claw +6 (1d4+4),2 claws and bite +1 (1d8+2),-,,"DV60, LLV, scent",6,5,2,18,15,16,2,13,8,Temperate hills,always,NN,2    ,MM1,,,,,,,,,,,,,,,,
Drakkensteed,Large,Animal,Dragonblood,4,30,50,f60 (pr),15,11,13,13,Bite +8 (1d8+6),Same as Attack,Trample 1d6+9,,LLV,8,6,3,23,15,19,2,14,12,Temperate forests,always,NN,3    ,DrM,,,,,,,,,,,,,,,,
"Horse, Warhorse, Heavy",Large,Animal,,4,30,50,,14,10,13,11,Hoof +6 (1d6+4),2 hooves and bite +1 (1d4+2),-,,"LLV, scent",7,5,2,18,13,17,2,13,6,Temperate plains,always,NN,2    ,MM1,,,,,,,,,,,,,,,,
Hive Horror,Fine,Magical Beast,Swarm,3,19,20,f60 (gd),13,12,11,-2,Swarm (1d6 plus venom),Same as Attack,"Distraction, venom",,"DV60, hive mind, immune to weapon damage",4,5,3,1,14,12,10,11,11,Any warm,always,NN,2    ,DDen,,,,,,,,,,,,,,,,
Hoard Scarab,Fine,Vermin,,1/8,2,20,c20,21,19,20,-21,Bite +3 (1d2-5),Same as Attack,Burrowing,,Tremorsense 20ft,3,1,1,1,13,13,-,12,2,Warm deserts,always,NN,1/2,Draco,,,,,,,,,,,,,,,,
"Hoard Scarab, Swarm",Fine,Vermin,Swarm,6,33,20,c20,13,11,12,-,Swarm (2d6),Same as Attack,"Burrowing, distraction",,Tremorsense 20ft,6,3,3,11,13,13,-,12,2,Warm deserts,always,NN,5    ,Draco,,,,,,,,,,,,,,,,
"Hoardevil, Female",Large,Magical Beast,,5,37,40,f50 (pr),17,11,15,14,Bite +9 (1d8+7) or slam +9 (1d8+7),Same as Attack,Powerful charge 2d8+7,,"DV60, LLV",6,6,1,21,15,14,2,10,7,Cold forests,always,NN,4    ,Web,,,,,,,,,,,,,,,,
"Hoardevil, Male",Large,Magical Beast,,5,37,40,,17,11,15,14,Bite +9 (1d8+7) or slam +9 (1d8+7),Same as Attack,"Powerful charge 2d8+7, rage",,"DV60, LLV",6,6,1,21,15,14,2,10,7,Cold forests,always,NN,4    ,Web,,,,,,,,,,,,,,,,
Hoarfroster,Medium,Fey,"Cold, Incorporeal",16,88,,f40 (prf),16,16,13,-,Incorporeal touch +11 (2d6 cold plus consuming cold plus fatiguing touch),Same as Attack,"Chilling breath, consuming cold, fatiguing touch",,"Immunity to cold, LLV, vulnerability to fire",7,13,10,-,17,14,5,11,17,Cold plains,always,NE,8    ,Web,,,,,,,,,,,,,,,,
